Base,Day,FOV,mask_label,redox_ratio_norm_mean,redox_ratio_norm_stdev,nadh_intensity_mean,nadh_intensity_stdev,nadh_a1_mean,nadh_a1_stdev,nadh_a1_intensity_weighted_mean,nadh_a1_intensity_weighted_stdev,nadh_a2_mean,nadh_a2_stdev,nadh_a2_intensity_weighted_mean,nadh_a2_intensity_weighted_stdev,nadh_t1_mean,nadh_t1_stdev,nadh_t1_intensity_weighted_mean,nadh_t1_intensity_weighted_stdev,nadh_t2_mean,nadh_t2_stdev,nadh_t2_intensity_weighted_mean,nadh_t2_intensity_weighted_stdev,nadh_tau_mean_mean,nadh_tau_mean_stdev,nadh_tau_mean_intensity_weighted_mean,nadh_tau_mean_intensity_weighted_stdev,fad_intensity_mean,fad_intensity_stdev,fad_a1_mean,fad_a1_stdev,fad_a1_intensity_weighted_mean,fad_a1_intensity_weighted_stdev,fad_a2_mean,fad_a2_stdev,fad_a2_intensity_weighted_mean,fad_a2_intensity_weighted_stdev,fad_t1_mean,fad_t1_stdev,fad_t1_intensity_weighted_mean,fad_t1_intensity_weighted_stdev,fad_t2_mean,fad_t2_stdev,fad_t2_intensity_weighted_mean,fad_t2_intensity_weighted_stdev,fad_tau_mean_mean,fad_tau_mean_stdev,fad_tau_mean_intensity_weighted_mean,fad_tau_mean_intensity_weighted_stdev,redox_ratio_mean,redox_ratio_stdev,,,flirr_mean,flirr_stdev
UCSD102,40,10,31,0.66181315,0.114761897,816.3041045,476.691911,76.58747183,2.936869688,76.17310731,2.526785012,23.41252817,2.936869688,23.82689269,2.526785012,321.5534664,55.73746324,342.5740494,50.30999514,2090.68,196.9119303,2160.431176,181.1061262,735.7011201,101.1455234,775.2075374,85.63963345,344.375,109.0361232,80.01044963,2.299624017,79.78930236,2.285048923,19.98955037,2.299624017,20.21069764,2.285048923,198.4583955,34.43989311,199.9600019,34.62752016,1649.131007,148.4127579,1664.396683,150.6050674,487.5868631,57.51989676,495.1082156,57.95350379,2.306506733,1.096642666,,,0.293202686,0.040020058
UCSD102,40,10,32,0.667259878,0.105550347,880.4629418,490.623265,76.24173979,2.907654563,76.39480206,2.712639315,23.75826021,2.907654563,23.60519793,2.712639365,334.6632558,55.24269518,350.8347834,50.91739622,2071.495188,172.5791866,2113.124729,165.1451962,745.7197368,82.19224072,765.1083559,71.81966282,368.0969213,92.77925127,80.28532041,2.911678602,80.23460733,3.156982134,19.71467967,2.911678231,19.76539279,3.156981537,195.167605,39.83348622,194.4787756,40.82317984,1694.919396,163.9762158,1706.860457,166.7206126,490.1261342,74.42229716,492.9754549,80.48234133,2.310079652,1.011446138,,,0.296558945,0.038366497
UCSD102,40,10,34,0.648003645,0.12372694,837.1634111,543.3644249,77.21559433,3.192447338,76.95540708,2.612094325,22.78440565,3.192447424,23.04459292,2.612094343,317.5958537,67.15201801,346.8111716,60.8249064,2088.44034,217.2726452,2168.157537,197.3855479,720.0946523,110.7689707,764.8478375,86.14391259,366.8301749,165.3006348,79.8282687,2.386262302,79.60272279,2.354317859,20.1717313,2.386262302,20.39727721,2.354317859,207.9331487,37.75532964,208.5251689,36.85669196,1702.179052,165.1308796,1721.596966,164.7809432,508.377622,61.20633683,516.4105993,61.98593899,2.2192994,1.154018963,,,0.285864774,0.041920464
UCSD102,40,10,35,0.668875428,0.121172051,1028.66716,625.5276898,76.22809911,2.667204471,76.45111065,2.473808845,23.77190089,2.667204471,23.54888935,2.473808845,345.135568,63.0975482,370.4818253,52.998256,2118.372633,200.6973997,2188.996461,178.561239,764.2248933,82.94722191,796.3293942,62.8692748,405.4467456,142.5345338,79.55922145,2.367828642,79.17043968,2.367134625,20.44077855,2.367828642,20.82956032,2.367134625,198.7777604,35.48226961,200.8285308,35.51149854,1754.678743,183.3570577,1786.010045,180.3629795,516.9118023,70.85412004,531.221848,71.28873249,2.426304469,1.220695618,,,0.299014321,0.034063419
UCSD102,40,10,36,0.617288962,0.086596989,601.7625571,292.5514407,77.35850114,2.988055087,77.40253032,2.843213647,22.64149886,2.988055087,22.59746968,2.843213647,281.669895,55.05121828,295.6076342,53.9815137,1943.160639,163.330222,1969.07479,159.6768708,656.6992554,78.73482009,672.3226497,68.5859468,333.9406393,41.23422506,79.50890982,2.122494498,79.44370173,2.118545261,20.49109018,2.122494498,20.55629827,2.118545261,199.2151073,36.01828783,199.3668902,35.93868431,1641.006667,137.3840701,1643.013047,136.974478,493.3136394,51.69223351,494.7857325,51.53952626,1.767928637,0.721578916,,,0.285028734,0.038739223
UCSD102,40,10,38,0.599142784,0.112254874,613.2981557,384.4971757,79.05110441,3.409179085,78.17775124,3.087484521,20.94889557,3.409179156,21.82224875,3.087484544,281.6939283,51.18625157,300.6916658,48.65205375,1972.872316,184.2354589,2023.007023,174.0422261,635.1466767,97.90931211,675.6969805,90.25188197,351.0430328,151.3823672,79.99951783,2.220970339,79.89847961,2.250390036,20.00048217,2.220970339,20.10152039,2.250390036,193.4086957,34.87800558,192.7010334,33.84417565,1613.610799,136.5397419,1623.991307,137.6402763,476.486537,52.59523011,479.6162502,53.41303951,1.718148429,0.845280328,,,0.262317488,0.044618889
UCSD102,40,10,39,0.626752966,0.095858,656.0896947,327.9630599,78.44372366,2.466868472,78.14948239,2.288085899,21.55627634,2.466868472,21.85051761,2.288085899,292.5509761,52.02876215,306.7032109,52.66256324,2012.769466,183.1563546,2047.106539,181.2225093,662.1935804,80.05575052,685.8622629,77.60566952,344.9255725,73.26909903,79.40255344,2.288922842,79.35255107,2.276567195,20.59744656,2.288922842,20.64744893,2.276567195,202.577324,38.24336206,202.2218334,37.87131238,1657.603263,161.5657417,1661.496657,160.2695179,500.2888669,54.18565832,501.5867889,53.6194376,1.874415241,0.79293593,,,0.271818089,0.032932295
UCSD102,40,10,40,0.632469748,0.132335409,747.4945919,442.4461638,78.32343392,4.283648673,77.67415902,3.245363747,21.67656601,4.283648848,22.32584096,3.245363808,300.8400199,62.22710021,323.3872122,53.34122856,2008.822763,198.6108148,2064.174803,162.9160171,671.1219724,118.146066,710.9600968,83.38792068,353.640118,114.6409824,80.36022576,2.383771608,80.19108808,2.402345745,19.63977421,2.383771731,19.80891189,2.402345842,189.8640933,37.13074496,191.2823102,36.11632255,1640.625025,160.5182785,1658.050656,162.2362752,473.950982,64.76851902,481.0893487,64.83486145,2.076733977,1.064128419,,,0.270436403,0.055574662
UCSD102,40,10,41,0.665085795,0.108590583,958.3291405,439.8363125,77.8930608,2.204831911,77.92743419,1.937625805,22.1069392,2.204831911,22.07256581,1.937625805,323.4871614,40.63164764,333.1214669,35.84338604,2096.1574,142.7852411,2120.496775,127.5375767,713.8651992,55.25317644,726.1951742,42.6478866,446.115304,241.4651151,79.73397191,2.570474903,80.04380361,2.685146274,20.26602809,2.570474903,19.95619639,2.685146274,205.5189518,38.0655632,202.7352837,37.08413538,1701.803229,148.7109222,1704.152415,146.1418872,507.542818,62.87104285,501.522718,66.65760116,2.291906927,1.003991362,,,0.277719391,0.030531348
UCSD102,40,10,42,0.607861839,0.097248461,580.1384051,316.9464069,79.12303932,2.322043137,79.04459127,2.175375902,20.87696068,2.322043137,20.95540873,2.175375902,280.2790807,52.17843957,294.9853361,51.49816692,1974.785472,178.7998599,2001.886015,168.8066466,632.5164466,70.17648693,651.1014929,63.90075301,327.2887259,48.09869981,79.93100935,2.194579342,79.93112154,2.177785332,20.06899065,2.194579342,20.06887846,2.177785332,204.089484,35.90560689,204.4617428,35.67023723,1630.612631,138.3406172,1634.448443,138.1956673,488.6199528,46.53877543,489.7143172,46.53096213,1.753929022,0.869321997,,,0.261392025,0.029990915
